"Title","Platform","Chipset","Edition","Release","Publisher","Box Size","Genre","WHDload Installed","WHDload does not exist","Tested","Complete","Copy Protection","Paid","Sold","Hall of Light Rarity","Top 50 Rank","Top 50 Comment","Lemon Rating"
"Dune II: The Building of a Dynasty","Amiga","","Original","1993","Virgin","Big Box","Strategy","Yes","No","Yes, Working (instalation complete successfully, but games quits after intro","Yes","","","","","","",""
"Dungeon Master","Amiga","OCS","Original","1988","FTL","Custom","Role-Playing (RPG)","Yes","No","","Yes, 4 disks","Disk","","","","","",""
"Dungeon Master & Chaos Strikes Back","Amiga","OCS","Original","1992","Psygnosis","Custom","Role-Playing (RPG)","Yes","No","Yes, Not Working System error 46 when starting game","Yes, Also extra chaos strikes back disks","Disk","","","","","",""
"Dungeon Master II: Skullkeep","Amiga","OCS","Original","1995","Interplay Entertainment Corp.","Big Box","Role-Playing (RPG)","Yes","No","Yes, Working","Yes","Manual","","","","","",""
"Dungeon Master's Assistant: Volume I - Encounters","Amiga","","Original","1989","SSI","SSI","Utility","No","Yes","Yes, Working","Yes","Manual","","","","","",""
"Dungeon Master's Assistant: Volume II - Characters & Treasures","Amiga","","Original","1989","SSI","SSI","Utility","No","Yes","Yes, Working","Yes","Manual","","","","","",""
"Dyna Blaster","Amiga","OCS","Original","1992","Ubi Soft","Big Box","Action","No","No","Yes, Working","Yes, 4-player adapter included","Disk","550 (491+59)","","","","",""
"Dynamite Düx","Amiga","","Original","1989","Activision","Mid Size","Action","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Dynasty Wars","Amiga","OCS","Original","1990","U.S. Gold","Mid size","Action","Yes","No","Yes, Working","Yes","Disk","77 (£5,63+£0,50)","","","","",""
"Dyter-07","Amiga","","Original","1990","reLINE Software","Mid size","Action","Yes","No","Yes, Not Working (software failiure, guru meditation)","No, missing manual","Disk","","","","","",""
"E-motion","Amiga","OCS","Original","1990","U.S. Gold","Mid size","Action, Strategy","Yes","No","Yes, Working","Yes, two disks and cover disk extra","Disk","","","","","",""
"EbonStar","Amiga","OCS","Original","1988","Microillusions","Custom","Shooter","No","No","","Yes","","103 (73+(59/2)EbonStar","","","","",""
"Elf","Amiga","","Original","1991","Ocean","Mid size","Platform","Yes","No","Yes, Working","Yes, two set of disks","Disk","","","","","",""
"Elfmania","Amiga","OCS","Original","1994","Renegade","Big Box","Action, Strategy","Yes","No","Yes, Not fully working (promts disk 1)","Yes","Disk","","","","","",""
"Eliminator","Amiga","OCS","Original","1988","Hewson Consultants Ltd.","Mid size","Action","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Elite","Amiga","","Original","1988","Firebird Software Ltd.","Custom","Action, Simulation","Yes","No","Yes, Working","Yes, extra disk","Manual","","","","","",""
"Elvira II: The Jaws Of Cerberus","Amiga","OCS","Original","1992","Accolade","Big Box","Adventure","Yes","No","Yes, Working","Yes","Code Wheel","314 (£25,09)","","","","",""
"Elvira: The Arcade Game","Amiga","OCS","Original","1991","Flair","Big Box","Platform","Yes","No","","Yes","Disk","","","","","",""
"Embryo","Amiga","OCS","Original","1994","Black Legend","Big Box","Shooter","Yes","No","Yes, Stops loading after a while (after intro and code identification)","Yes","Manual","70 (£5,07+£0,50)","","","","",""
"Emerald Mine 3 Professional","Amiga","","Original","1990","Kingsoft","Small Jewelcase","Maze game","Yes","No","Yes, Not Working","Yes","Disk","","","","","",""
"Emlyn Hughes Arcade Quiz","Amiga","","Original","1990","Audiogenic Software Ltd.","Mid Size","Quiz","No","Yes","Yes, Working","Yes","Disk","","","","","",""
"Emlyn Hughes International Soccer","Amiga","","Original","1990","Audiogenic Software Ltd.","Mid size","Sports","Yes","No","","","","","","","","",""
"Emperor Of The Mines","Amiga","OCS","Original","1989","Impressions","Mid Size","Strategy","No","Yes","No, Shrink wrapped","Yes, shrink wrapped","","","","","","",""
"Empire Soccer 94","Amiga","OCS","Original","1994","Empire","Big Box","Sports","Yes","No","Yes, Working","Yes","Code Booklet","","","","","",""
"The Enforcer","Amiga","OCS","Original","1988","Eurosoft","Jewel Case","","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Enlightenment: Druid II","Amiga","OCS","Original","1988","Firebird","Jewel Case","Shooter","Yes","No","Yes, Not fully working (White screen)","Yes","Disk","185 (150+35)","","","","",""
"Enterprise","Amiga","","Original","1990","ARC","","Shooter","No","Yes","","Yes, New shrink wrapped","","","","","","",""
"Epic","Amiga","","Original","1992","Ocean","Big Box","Action, Simulation","Yes","No","","Yes, Also budget release disks","","","","","","",""
"Espionage","Amiga","","Original","1988","Grandslam Entertainments Ltd.","Mid Size","Strategy","No","Yes","Yes, Working","Yes","Manual","","","","","",""
"ESWAT: Cyber Police","Amiga","OCS","Original","1991","U.S. Gold","Mid Size","Shooter","Yes","No","Yes, Working","Yes","Disk","77 (£5,63+£0,50)","","","","",""
"European Football Champ","Amiga","OCS","Original","1992","Domark","Big Box","Action, Sports","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"European Superleague","Amiga","","Original","1990","CDS Software Ltd","Mid Size","Simulation, Sports, Strategy","No","Yes","Yes, Not Working (disk doesn't boot)","Yes","","","","","","",""
"Evil Garden","Amiga","OCS","Original","1989","Demonware","Custom","Shooter","No","Yes","Yes, Working","Yes","Manual","","","","","",""
"Exile","Amiga","OCS","Original","1991","Audiogenic Software Ltd.","Big Box","Action","Yes","No","","Yes","Disk","","","","","",""
"Exodus 3010","Amiga","OCS","Original","1993","Demonware","Big Box","Action Strategy","No","Yes","","Yes","","","","","","",""
"Exolon","Amiga","OCS","Original","1989","Hewson","Mid size","Shooter","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Extensor","Amiga","OCS","Original","1988","Golden Games","Jewel Case","Action","No","Yes","Yes, Working","Yes","Disk","","","","","",""
"Exterminator","Amiga","","Original","1990","Audiogenic Software Ltd.","Mid size","Shooter","Yes","No","Yes, Not Working","Yes, 1 extra disk","","83 (79+(79/19))","","","","",""
"Eye","Amiga","OCS","Original","1988","Endurance","Custom","Puzzle","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Eye of Horus","Amiga","OCS","Original","1989","Logotron","Mid Size","Action","Yes","No","Yes, Working","Yes","Manual","94 (£5,35+£2,13)","","","","",""
"Eye of the Beholder","Amiga","","Original","1991","U.S. Gold","SSI","Role-Playing (RPG)","Yes","No","Yes, Working","Yes, two set of disks","None","","","","","",""
"Eye of the Beholder II: The Legend of Darkmoon","Amiga","","Original","1992","SSI","Big Box","Role-Playing (RPG)","Yes","No","Yes, Working","Yes","","","","","","",""
"Eye Of The Storm","Amiga","OCS","Original","1994","Rebellion","Big Box","Shooter","Yes","No","","Yes","","","","","","",""
"F-15 Strike Eagle II","Amiga","OCS","Original","1991","MicroProse","Big Box","Action, Simulation","Yes","No","Yes, Working","Yes","Manual","","","","","",""
"F-16 Combat Pilot","Amiga","","Original","1989","Digital Integration","Mid size","Simulation","Yes","No","Yes, Working","Yes, two set of disks and manuals","Disk","","","","","",""
"F-19 Stealth Fighter","Amiga","OCS","Original","1990","MicroProse","Big Box","Simulation","Yes","No","Yes, Working","Yes","Manual","","","","","",""
"F-117A Nighthawk Stealth Fighter 2.0","Amiga","OCS","Original","1993","MicroProse","Big Box","Action, Simulation","Yes","No","Yes, Working","Yes","Manual","","","","","",""
"F1","Amiga","OCS","Original","1993","Domark","Big Box","Racing","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"F1 GP Circuits","Amiga","","Original","1991","Idea Software","Mid Size","Racing","No","Yes","Yes, Working","Yes","Disk","","","","","",""
"F1 Tornado","Amiga","","Original","1992","Zeppelin","Small cardboard","","Yes","No","Yes, Not Working (stuck on black screen)","Yes","Disk","","","","","",""
"F29 Retaliator","Amiga","","Original","1989","Ocean","Mid size","Action, Simulation","Yes","No","Yes, Working","Yes, Also budget release disks","Disk","","","","","",""
"Face-Off","Amiga","OCS","Original","1991","Krisalis","Mid Size","Simulation, Sports","Yes","No","Yes, Working","Yes","Disk","94 (£5,35+£2,13)","","","","",""
"The Faery Tale Adventure: Book I","Amiga","","Original","1987","MicroIllusions","Custom","Role-Playing (RPG)","Yes","No","Yes, Working","Yes","Manual","","","","","",""
"Falcon","Amiga","OCS","Original","1989","Mirrorsoft","Custom","Simulation","Yes","No","","Yes, 2 set of disks","","","","","","",""
"Falcon Mission Disk Volume 1: Operation Counterstrike","Amiga","OCS","Original","1989","Mirrorsoft","Mid Size","Data Disc","Yes","No","","Yes, 2 disks","","","","","","",""
"The Famous Five: Five on a Treasure Island","Amiga","","Original","1991","Enigma Variations Ltd.","Mid Size","Adventure","No","Yes","Yes, Working","Yes","Disk","","","Extremely Rare","","",""
"The Fantastic Adventures of Dizzy","Amiga","","Original","1993","Codemasters","Big Box","Action","Yes","No","","Yes","","","","","","",""
"Fantasy World Dizzy","Amiga","","Original","1991","Codemasters","Jewel Case","Action","Yes","No","Yes, Working","Yes","Disk","103 (99+(79/19))","","","","",""
"Fast Break","Amiga","","Original","1989","Accolade","Mid Size","Action, Sports, Strategy","Yes","No","Yes, Not Working (shows title screen but then exists to dos promt)","Yes","","102 (£6,02+£2,13)","","","","",""
"Fast Lane! The Spice Engineering Challenge","Amiga","","Original","1990","Artonic","Mid Size","Racing","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Fate: Gates of Dawn","Amiga","OCS","Original","1991","reLINE Software","Big Box","Role-Playing (RPG)","Yes","No","No, Shrink wrapped","Yes, new","","","","","","",""
"Fears","Amiga","AGA","Original","1995","Manyk Ltd","Big Box","Action","Yes","No","Yes, Working","Yes","Manual","","","","","",""
"Federation Quest 1: B.S.S. Jane Seymour","Amiga","","Original","1990","Gremlin","Mid size","Role-Playing (RPG)","Yes","No","Yes, Not Working, stuck on green screen on both set of disks","Yes, Also budget release disks","","","","","","",""
"Fernandez Must Die","Amiga","OCS","Original","1988","Image Works","Mid size","Shooter","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Feudal Lords","Amiga","OCS","Original","1991","Impressions","Mid Size","Strategy","No","Yes","Yes, Working","Yes","","","","","","",""
"The Fidelity Chessmaster 2100","Amiga","","Original","1990","Software Toolworks, Inc., The","Big Box","Strategy","Yes","No","","Yes","","","","","","",""
"Fields of Glory","Amiga","OCS","Original","1994","MicroProse","Big Box","Strategy","No","Yes","","Yes, two set of disks","","","","","","",""
"Fiendish Freddy's Big Top O' Fun","Amiga","OCS","Original","1989","Mindscape","Mid Size","Sports","Yes","No","Yes, Not Working (read error)","Yes","Disk","","","","","",""
"FIFA International Soccer","Amiga","","Original","1994","Electronic Arts","Big Box","Sports","Yes","No","","Yes","","","","","","",""
"Fighter Bomber","Amiga","","Original","1990","Activision (UK) Limited","Mid Size","Simulation","Yes","No","Yes, Working","Yes","Manual","","","","","",""
"Fighter Command","Amiga","OCS","Original","1991","Impressions","Big Box","Strategy","No","Yes","Yes, Working","Yes","","","","","","",""
"Fighter Duel: Corsair vs Zero","Amiga","OCS","Original","1991","Jaeger","Big Box","Simulation","Yes","No","","Yes","Manual","","","","","",""
"Fighting Soccer","Amiga","","Original","1990","Activision","Mid Size","Sports","Yes","No","Yes, Working","Yes, extra disk","Disk","","","","","",""
"Final Battle, The","Amiga","OCS","Original","1990","P.S.S","Mid Size","Adventure","Yes","No","","Yes","","103 (99+(79/19))","","","","",""
"Final Blow","Amiga","","Original","1991","Storm","Mid size","Action, Sports","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"The Final Conflict","Amiga","OCS","Original","1990","Impressions","Mid Size","Action, Strategy","No","Yes","Yes, Working","Yes","Disk","","","","","",""
"Final Fight","Amiga","OCS","Original","1991","U.S. Gold","Big Box","Action","Yes","No","Yes, Not Working","Yes","Disk","","","","","",""
"Final Odyssey: Theseus Verses The Minotaur","Amiga","OCS","Original","1997","Vulcan Software Limited","Jewel Case","Action & Adventure","No","Yes","","Yes","","","","","","",""
"The Final Trip","Amiga","OCS","Original","1988","Softgang","Small Jewelcase","Shooter","No","Yes","Yes, Not fully working (Scrambled graphics)","Yes","Disk","","","","","",""
"Fire & Ice","Amiga","OCS","Original","1992","Mindscape","Big Box","Action","Yes","No","Yes, Not Working (black screen ans stops loading)","Yes","Code Sheet","","","","","",""
"Fire Force","Amiga","OCS","Original","1992","I.C.E","Big Box","Platform","Yes","No","","Yes","Disk","","","","","",""
"Firezone","Amiga","OCS","Original","1989","PSS","Custom","Strategy","No","Yes","Yes, Working","Yes","Disk","","","","","",""
"First Contact","Amiga","OCS","Original","1990","Rainbird","Mid Size","Shooter","Yes","No","","Yes","","","","","","",""
"First Person Pinball","Amiga","OCS","Original","1989","Tynesoft","Mid Size, plasticc inner box","Action","No","Yes","Yes, Working","Yes","Disk","","","","","",""
"First Samurai","Amiga","OCS","Original","1991","Image Works","Big Box","Action","Yes","No","Yes, Working","Yes","Code Sheet","","","","","",""
"Fish!","Amiga","OCS","Original","1988","Rainbird","Mid Size","Adventure","Yes","No","","Yes","Manual","","","","","",""
"Flames of Freedom","Amiga","OCS","Original","1991","Rainbird","Big Box","Action, Strategy","Yes","No","","Yes, Also contains budget release disks","","","","","","",""
"Flashback: The Quest for Identity","Amiga","OCS","Original","1992","U.S. Gold","Big Box","Action","Yes","No","Yes, Working","Yes","Manual","","","","","",""
"Flight of the Amazon Queen","Amiga","OCS","Original","1995","Renegade","Big Box","Adventure","Yes","No","","Yes","","","","","","",""
"Flight Path 737","Amiga","OCS","Original","1988","Anco","Small Jewelcase","Simulation","Yes","No","Yes, Working","Yes, two disks","Disk","","","","","",""
"Flight Simulator II","Amiga","","Original","1987","subLOGIC","","Simulation","Yes","No","","","","","","","","",""
"Flip Flop","Amiga","","Original","1987","Kingsoft","Small Jewelcase","Strategy","Yes","No","Yes, Working (probably)","Yes","None","65 (49+(48/3))","","","","",""
"Flip-it & Magnose: Water Carriers from Mars","Amiga","OCS","Original","1990","Image Works","Mid size","Action","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Flood","Amiga","","Original","1990","Electronic Arts","Mid size","Platform","Yes","No","","Yes, extra disk","","","","","","",""
"Floor 13","Amiga","OCS","Original","1992","Virgin","Big Box","Action Adventure","Yes","No","Yes, Working","Yes","","","","","","",""
"Flyin' High","Amiga","AGA","Original","1997","APC&TCP","Custom","Racing","No","Yes","","Yes","","","","","","",""
"The Fool's Errand","Amiga","","Original","1990","Miles Computing","Custom","Puzzle","No","No","Yes, Working","Yes","Code Wheel","103 (73+(59/2)","","","","",""
"Football Director II v2","Amiga","","Original","1991","CDS Software Ltd","Mid Size","Sports","No","Yes","Yes, Working","Yes, 1 extra disk","Disk","","","","","",""
"Football Glory","Amiga","OCS","Original","1994","Black Legend","Big Box","Sports","Yes","No","","Yes","","","","","","",""
"Football Manager","Amiga","OCS","Original","1989","Addictive Games Ltd","Jewel Case","Sports","No","No","","Yes","","","","","","",""
"Football Simulation","Amiga","","Original","1990","Sport soft","Mid Size","Sports","No","Yes","Yes, Not Working (loading and shows title screen but then gets stuck on white screen)","Yes","Manual","","","","","",""
"Forgotten Worlds","Amiga","OCS","Original","1989","U.S. Gold","Mid Size","Action","Yes","No","Yes, Working","Yes, one extra disk (not working)","Disk","","","","","",""
"Formula 1 Masters","Amiga","OCS","Original","1996","ESP Software","Big Box","Simulation, Strategy","No","Yes","","Yes","","","","","","",""
"Fortress Underground","Amiga","","Original","1987","Kingsoft","Small Jewelcase","Shooter","No","Yes","Yes, Not Working","Yes","Disk","","","","","",""
"Fraction Action","Amiga","OCS","Original","1986","Unicorn Educational Software","Custom","games","No","Yes","","Yes","","","","","","",""
"Frenetic","Amiga","","Original","1991","Core Design","Mid Size","Shooter","Yes","No","Yes, Working","Yes","Disk","138 (£5+£6)","","","","",""
"Frontier: Elite II","Amiga","OCS","Original","1993","GameTek UK Ltd.","Big Box","Action, Simulation","Yes","No","","Yes","","","","","","",""
"Frontline","Amiga","","Original","1990","CCS","Mid Size","Strategy","No","Yes","Yes, Working","Yes","","","","","","",""
"Full Contact","Amiga","OCS","Original","1991","Team17","Jewel Case","Action","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Full Metal Planete","Amiga","","Original","1989","Infogrames","Mid size","Strategy","Yes","No","","Yes","","","","","","",""
"Future Basketball","Amiga","OCS","Original","1990","Hewson","Mid size","Action, Sports","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Future Bike Simulator","Amiga","OCS","Original","1990","Hi-Tec Software Ltd.","Custom","Action","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Future Wars","Amiga","","Original","1989","U.S. Gold","Mid Size","Adventure","Yes","No","Yes, Working","Yes, 3 set of disks","Manual + plastic grid","","","","","",""
"Fuzzball","Amiga","OCS","Original","1991","System 3 Software Ltd.","Big Box","Platform","Yes","No","Yes, Working","Yes, two set of disks","Disk","204 (149+55)","","","","",""
"G-LOC R360","Amiga","OCS","Original","1992","U.S. Gold","Big Box","Action","Yes","No","Yes, Working","Yes, Glases included and extra disk","Disk","","","","","",""
"Galactic Warrior Rats","Amiga","","Original","1992","Summit Software","Mid Size","Shooter","Yes","No","Yes, Not Working (stuck on white screen)","Yes","","","","","","",""
"Galaxy Force II","Amiga","","Original","1990","Activision","Mid size","Shooter","Yes","No","Yes, Working","Yes","Disk","70 (£5,07+£0,50)","","","","",""
"Galdregon's Domain","Amiga","","Original","1989","Spotlight Software","","Role-Playing (RPG)","Yes","No","","","","","","","","",""
"The Games '92 - España","Amiga","","Original","1992","Ocean","Big Box","Sports","Yes","No","","Yes","","","","","","",""
"Garfield: Winter's Tail","Amiga","OCS","Original","1989","The Edge","Mid Size","Multi","No","No","","Yes, 2 disks","","140  (250/2+29/2)","","","","",""
"Garrison","Amiga","OCS","Original","1987","Rainbow Arts","Custom","Puzzle","Yes","No","","No, manual is missing","","196 ($9,99+($26,25+2,5/3))","","","","",""
"Gateway to the Savage Frontier","Amiga","","Original","1991","SSI","SSI","Role-Playing (RPG)","Yes","No","Yes, Not Working (disk 1 has read/wrike error)","Yes","","","","","","",""
"Gear Works","Amiga","OCS","Original","1993","Idea Software","Big Box","Puzzle","Yes","No","","Yes","","","","","","",""
"Gee Bee Air Rally","Amiga","OCS","Original","1987","Activision","Custom","Racing","Yes","No","Yes, Working","Yes","Manual","331 ($23,50+(26,25+2,5/3))","","","","",""
"Gemini Wing","Amiga","OCS","Original","1989","Virgin Mastertronic Ltd.","Custom","Shooter","Yes","No","Yes, Working","Yes","Disk","89 (40+49)","","","","",""
"Genesia","Amiga","OCS","Original","1993","Mindscape","Big Box","Strategy","Yes","No","Yes, Working","Yes","Manual","","","","","",""
"Genghis Khan","Amiga","OCS","Original","1991","Infogrames","Big Box","Strategy","No","Yes","","Yes","","","","","","",""
"Germ Crazy","Amiga","OCS","Original","1991","Electronic Zoo","Mid Size","Puzzle","No","Yes","Yes, Working","Yes","Manual","","","","","",""
"Gettysburg","Amiga","OCS","Original","1990","Atari Corp. (UK) Ltd.","Mid Size","Simulation, Strategy","Yes","No","","Yes","","","","","","",""
"Ghost Chaser","Amiga","OCS","Original","1990","Byte Back","Jewel Case","Puzzle","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Giana Sisters","Amiga","","Original","1988","Rainbow Arts","Jewel Case","Platform","Yes","No","Yes, Working","Yes","Disk","7763 (£599+22=621)","","Extremely Rare","","",""
"Globdule","Amiga","OCS","Original","1993","Psygnosis","Big Box","Action","Yes","No","Yes, Working","Yes, two set of disks","Manual","","","","","",""
"Gloom","Amiga","AGA","Original","1995","Guildhall Leisure Services Ltd.","Big Box","Action","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Gnome Alone","Amiga","OCS","Original","1992","I.C.E","Big Box","Maze game","Yes","No","","Yes","Disk","","","","","",""
"Goal!","Amiga","OCS","Original","1993","Virgin","Big Box","Sports","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Gobliins 2: The Prince Buffoon","Amiga","OCS","Original","1992","Sierra On-Line","Big Box","Adventure","Yes","No","Yes, Not Working (disk is unreadable)","Yes","Code Sheet","","","","","",""
"The Godfather","Amiga","OCS","Original","1992","U.S. Gold","Big Box","Action","Yes","No","Yes, Working","Yes","Code Wheel","","","","","",""
"Gold of the Americas: The Conquest of the New World","Amiga","OCS","Original","1990","SSG Strategic Studies Group Pty Ltd.","Custom","Strategy","No","Yes","","Yes","None","","","","","",""
"Gold Rush!","Amiga","OCS","Original","1989","Sierra On-Line","Sierra","Adventure","Yes","No","","Yes","","","","","","",""
"Golden Axe","Amiga","OCS","Original","1990","Virgin","Mid size","Action","Yes","No","Yes, Not fully working get stuck loading after character selection","Yes","Disk","","","","","",""
"Golden Path","Amiga","OCS","Original","1988","Firebird","Custom","Action & Adventure","Yes","No","Yes, Working","Yes, German manual","Disk","","","","","",""
"Goldrunner","Amiga","OCS","Original","1987","MicroDeal","Custom","Action","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Graeme Souness Vector Soccer","Amiga","OCS","Original","1991","Impulze","Big Box","Sports","Yes","No","","Yes","Code Sheet","79 (20+59)","","","","",""
"Graffiti Man","Amiga","OCS","Original","1987","Rainbow Arts","Plastic folder","Action","No","Yes","Yes, Not Working","Yes","Disk","","","","","",""
"Grand Monster Slam","Amiga","","Original","1990","Golden Goblins","Mid size","Duel","Yes","No","Yes, Working","Yes, German manual + 1 extra disk (one disk version)","Disk","","","","","",""
"Grand National","Amiga","OCS","Original","1990","Elite","Mid Size","Sports","No","Yes","Yes, Working","Yes","Disk","","","","","",""
"Grand Prix Circuit","Amiga","OCS","Original","1989","Accolade","Custom","Simulation, Racing","Yes","No","Yes, Working (one disk is working the other is not working)","Yes, two disks","Disk","","","","","",""
"Gravity","Amiga","OCS","Original","1990","Image Works","Mid size","Action","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Greens","Amiga","OCS","Original","1991","MicroProse","Big Box","Sports","Yes","No","","Yes","","","","","","",""
"Greg Norman's Shark Attack! The Ultimate Golf Simulator","Amiga","","Original","1990","Melbourne House","Mid Size","Simulation, Sports","Yes","No","Yes, Working","Yes","Manual","","","","","",""
"Gremlins 2: The New Batch","Amiga","OCS","Original","1990","Elite Systems Ltd.","Mid size","Action","Yes","No","Yes, Not Working (software failiure)","Yes","Disk","","","","","",""
"Grid Start","Amiga","OCS","Original","1987","Anco","Small Jewelcase","Racing","Yes","No","Yes, Not Working","Yes","Disk","73 (69+(79/19))","","","","",""
"Guardian","Amiga","AGA","Original","1994","Guildhall Leisure Services Ltd.","Big Box","Action","Yes","No","Yes, Not Working (can't start game from menu)","Yes","Disk","","","","","",""
"Gunbee F-99: The Kidnapping Of Lady Akiko","Amiga","AGA","Original","1998","APC&TCP","Jewel Case","Shooter","Yes","No","Yes, Working","Yes","None","","","","","",""
"Gunboat","Amiga","OCS","Original","1991","Accolade","Custom","Action, Simulation","Yes","No","Yes, Working","Yes","Code Wheel","","","","","",""
"Gunship","Amiga","OCS","Original","1989","MicroProse","Mid size","Simulation","Yes","No","","Yes","","","","","","",""
"Gunship 2000","Amiga","OCS","Original","1993","MicroProse","Big Box","Simulation","Yes","No","","Yes","","","","","","",""
"Gunshoot","Amiga","OCS","Original","1988","Axxiom","Custom","Shooter","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Guy Spy and the Crystals of Armageddon","Amiga","OCS","Original","1992","ReadySoft Incorporated","Big Box","Action","Yes","No","Yes, Working (blue disks work but grey does not)","Yes, two set of disks and manuals","Disk","131 (£5,50+£4,95) 103 (77+26) Ett sålt för 167","","","","",""
"Halley Project, The: A Mission In Our Solar System","Amiga","","Original","1986","Mindscape","Custom","Unknown","Yes","No","Yes, Working","Yes","None","","","","","",""
"Hammerfist","Amiga","OCS","Original","1990","Activision (UK) Limited","Mid size","Action","Yes","No","","Yes","Disk","","","","","",""
"Hard Drivin'","Amiga","","Original","1989","Domark","Mid size","Simulation, Racing","Yes","No","","","","","","","","",""
"Hard Drivin' II","Amiga","OCS","Original","1991","Domark","Mid size","Racing","Yes","No","Yes, Working","Yes","Disk","63 (£4,50+£0,50)","","","","",""
"Hard Nova","Amiga","","Original","1991","Electronic Arts","Mid Size","Adventure","No","Yes","","Yes","","","","","","",""
"Harlequin","Amiga","","Original","1992","Gremlin","Big Box","Action","Yes","No","","Yes","","","","","","",""
"Harley-Davidson: The Road To Sturgis","Amiga","OCS","Original","1990","Mindscape","Custom","Racing","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Harpoon","Amiga","OCS","Original","1991","PSS","Big Box","Simulation, Strategy","Yes","No","","Yes, Also battel set 2","","","","","","",""
"Heart of China","Amiga","","Original","1991","Sierra On-Line","Sierra","Adventure","Yes","No","Yes, Working","Yes","None","","","","","",""
"Heimdall","Amiga","","Original","1991","Core Design","Big Box","Role-Playing (RPG)","Yes","No","","Yes","","","","","","",""
"Heimdall 2: Into the Hall of Worlds","Amiga","","Original","1994","Core Design","Big Box","Role-Playing (RPG)","Yes","No","","Yes","","116 (£3,79+£5,50)","","","","",""
"Hellraider","Amiga","","Original","1989","ARC","Mid size","Shooter","Yes","No","","Yes","","","","","","",""
"Hero Quest","Amiga","","Original","1991","Gremlin","Mid size","Role-Playing (RPG)","Yes","No","Yes, Working","Yes","Manual","","","","","",""
"Hero Quest II: Legacy of Sorasil","Amiga","","Original","1994","Gremlin","Big Box","Role-Playing (RPG)","Yes","No","","Yes","Code Wheel","","","","","",""
"Hero's Quest: So You Want To Be A Hero","Amiga","OCS","Original","1990","Sierra On-Line","Sierra","Adventure, Role-Playing (RPG)","Yes","No","","Yes","","","","","","",""
"Heroes of the Lance","Amiga","OCS","Original","1988","SSI","Custom","Action","Yes","No","Yes, Not Working (software failiure)","Yes","","","","","","",""
"High Seas Trader","Amiga","AGA","Original","1995","Impressions","Big Box","Strategy","Yes","No","Yes, Not Working","Yes","","","","","","",""
"Hill Street Blues","Amiga","OCS","Original","1991","Krisalis","Mid Size","Simulation, Strategy","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Hired Guns","Amiga","OCS","Original","1993","Psygnosis","Big Box","Action, Role-Playing (RPG)","Yes","No","Yes, Working","Yes","Code Sheet","","","","","",""
"History Line 1914-1918","Amiga","OCS","Original","1992","Blue Byte Studio GmbH","Big Box","Strategy","Yes","No","","Yes","","","","","","",""
"Hollywood Poker Pro","Amiga","OCS","Original","1989","reLINE Software","Custom","Strategy","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Home Alone","Amiga","OCS","Original","1991","Capstone Software","Big Box","Action","No","Yes","","Yes","Disk","","","","","",""
"Hook","Amiga","","Original","1992","Ocean","Big Box","Adventure","Yes","No","","Yes","","","","","","",""
"Horror Zombies From The Crypt","Amiga","OCS","Original","1991","Millennium","Big Box","Fighting","Yes","No","Yes, Working","Yes","Disk","153 (149+(79/19))","","","","",""
"Hostages","Amiga","","Original","1988","Infogrames","Mid size","Action, Simulation","Yes","No","","Yes","","","","","","",""
"Hot Rod","Amiga","","Original","1990","Activision","Mid size","Action, Racing","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"The Hound of Shadow","Amiga","","Original","1989","Electronic Arts","Mid Size","Adventure","Yes","No","","Yes","","","","","","",""
"Hoversprint","Amiga","","Original","1992","Codemasters","Small cardboard","Racing","No","Yes","Yes, Not Working (black screen after intro)","Yes","Disk","","","","","",""
"Hoyle Official Book of Games: Volume 1","Amiga","OCS","Original","1990","Sierra On-Line","Sierra","Strategy","No","Yes","","Yes","","","","","","",""
"Hoyle Official Book of Games: Volume 2","Amiga","OCS","Original","1990","Sierra On-Line","Sierra","Strategy","No","Yes","","Yes","","","","","","",""
"Hoyle Volume III","Amiga","OCS","Original","1992","Sierra","Sierra","Board Games","No","Yes","","Yes","","335 ($10+$23,50)","","","","",""
